iter	RMSE
0	64321.75568
1	55839.66686
2	47881.44941
3	42782.06636
4	39215.1773
5	35930.32491
6	32977.09798
7	30850.45565
8	29410.44211
9	27995.07208
10	26845.68953
11	25914.75061
12	25213.52551
13	24311.40706
14	23745.78331
15	23032.5044
16	22540.56414
17	22098.96364
18	21736.24168
19	21237.52699
20	20818.5561
21	20462.42671
22	20015.91056
23	19764.2207
24	19296.12661
25	18955.6085
26	18709.09604
27	18322.80601
28	18230.98841
29	18163.21565
30	17939.29398
31	17634.89227
32	17387.56888
33	17136.51154
34	17030.95814
35	16795.68058
36	16738.20804
37	16480.52335
38	16161.39737
39	15912.71926
40	15831.30025
41	15596.3712
42	15423.14909
43	15156.92908
44	14857.56207
45	14625.32497
46	14584.19287
47	14343.39758
48	14118.23445
49	13864.57751
50	13692.59099
51	13499.66057
52	13339.47196
53	13173.15838
54	13009.63823
55	12848.69387
56	12691.70053
57	12549.44949
58	12372.0071
59	12169.95415
60	12003.10489
61	11877.17778
62	11682.11542
63	11583.34162
64	11399.57281
65	11299.33977
66	11274.59666
67	11130.48499
68	10976.15189
69	10810.08728
70	10667.46168
71	10508.98736
72	10394.14949
73	10325.49102
74	10205.6308
75	10191.52579
76	10117.67351
77	9989.682738
78	9824.846472
79	9815.458588
80	9687.568534
81	9597.519648
82	9460.39893
83	9357.131608
84	9211.93107
85	9087.944358
86	9013.344678
87	9001.953065
88	8952.437426
89	8873.312817
90	8798.055231
91	8744.058555
92	8683.812706
93	8670.082722
94	8607.054884
95	8594.629733
96	8586.479893
97	8501.425513
98	8437.469228
99	8385.409718
