iter	Passed	Remaining
0	52	5208
1	54	2688
2	56	1840
3	57	1390
4	58	1119
5	59	937
6	60	807
7	61	709
8	62	634
9	63	573
10	64	523
11	65	481
12	67	450
13	68	418
14	69	391
15	70	368
16	71	346
17	71	327
18	72	310
19	74	298
20	75	284
21	76	271
22	77	259
23	78	248
24	79	237
25	80	228
26	81	219
27	82	212
28	83	203
29	84	196
30	85	189
31	85	182
32	86	176
33	87	170
34	88	164
35	89	159
36	90	153
37	91	148
38	92	144
39	93	139
40	93	135
41	94	130
42	95	126
43	96	123
44	97	119
45	98	115
46	99	112
47	100	109
48	101	105
49	102	102
50	103	99
51	104	96
52	105	93
53	106	90
54	107	87
55	108	85
56	109	82
57	110	79
58	111	77
59	114	76
60	115	73
61	116	71
62	117	68
63	118	66
64	119	64
65	120	62
66	121	59
67	122	57
68	123	55
69	124	53
70	125	51
71	126	49
72	127	47
73	128	45
74	129	43
75	131	41
76	133	39
77	134	37
78	135	36
79	136	34
80	137	32
81	138	30
82	139	28
83	140	26
84	141	25
85	142	23
86	143	21
87	144	19
88	145	17
89	146	16
90	147	14
91	148	12
92	149	11
93	149	9
94	150	7
95	151	6
96	152	4
97	153	3
98	154	1
99	155	0
